season,location_name,line_count
1,Kwik-E-Mart,38
1,Moe's Tavern,94
1,Simpson Home,721
1,Springfield Elementary School,88
1,Springfield Nuclear Power Plant,93
2,Kwik-E-Mart,9
2,Moe's Tavern,117
2,Simpson Home,1859
2,Springfield Elementary School,236
2,Springfield Nuclear Power Plant,247
3,Kwik-E-Mart,71
3,Moe's Tavern,317
3,Simpson Home,2395
3,Springfield Elementary School,303
3,Springfield Nuclear Power Plant,340
4,Kwik-E-Mart,82
4,Moe's Tavern,124
4,Simpson Home,2000
4,Springfield Elementary School,309
4,Springfield Nuclear Power Plant,168
5,Kwik-E-Mart,132
5,Moe's Tavern,104
5,Simpson Home,1377
5,Springfield Elementary School,209
5,Springfield Nuclear Power Plant,241
6,Kwik-E-Mart,19
6,Moe's Tavern,107
6,Simpson Home,1005
6,Springfield Elementary School,262
6,Springfield Nuclear Power Plant,150
7,Kwik-E-Mart,110
7,Moe's Tavern,114
7,Simpson Home,1457
7,Springfield Elementary School,199
7,Springfield Nuclear Power Plant,316
8,Kwik-E-Mart,36
8,Moe's Tavern,230
8,Simpson Home,1598
8,Springfield Elementary School,313
8,Springfield Nuclear Power Plant,222
9,Kwik-E-Mart,136
9,Moe's Tavern,283
9,Simpson Home,1851
9,Springfield Elementary School,285
9,Springfield Nuclear Power Plant,84
10,Kwik-E-Mart,84
10,Moe's Tavern,212
10,Simpson Home,1602
10,Springfield Elementary School,265
10,Springfield Nuclear Power Plant,102
11,Kwik-E-Mart,66
11,Moe's Tavern,194
11,Simpson Home,1122
11,Springfield Elementary School,161
11,Springfield Nuclear Power Plant,95
12,Kwik-E-Mart,51
12,Moe's Tavern,146
12,Simpson Home,1069
12,Springfield Elementary School,415
12,Springfield Nuclear Power Plant,105
13,Kwik-E-Mart,105
13,Moe's Tavern,289
13,Simpson Home,1371
13,Springfield Elementary School,147
13,Springfield Nuclear Power Plant,118
14,Kwik-E-Mart,82
14,Moe's Tavern,233
14,Simpson Home,1459
14,Springfield Elementary School,237
14,Springfield Nuclear Power Plant,120
15,Kwik-E-Mart,28
15,Moe's Tavern,152
15,Simpson Home,1369
15,Springfield Elementary School,228
15,Springfield Nuclear Power Plant,118
16,Kwik-E-Mart,55
16,Moe's Tavern,104
16,Simpson Home,1497
16,Springfield Elementary School,143
16,Springfield Nuclear Power Plant,31
17,Kwik-E-Mart,5
17,Moe's Tavern,128
17,Simpson Home,1217
17,Springfield Elementary School,274
17,Springfield Nuclear Power Plant,34
18,Kwik-E-Mart,62
18,Moe's Tavern,118
18,Simpson Home,1177
18,Springfield Elementary School,375
18,Springfield Nuclear Power Plant,16
19,Kwik-E-Mart,38
19,Moe's Tavern,115
19,Simpson Home,1089
19,Springfield Elementary School,201
19,Springfield Nuclear Power Plant,22
20,Kwik-E-Mart,54
20,Moe's Tavern,210
20,Simpson Home,1073
20,Springfield Elementary School,264
20,Springfield Nuclear Power Plant,10
21,Kwik-E-Mart,38
21,Moe's Tavern,262
21,Simpson Home,1173
21,Springfield Elementary School,454
21,Springfield Nuclear Power Plant,125
22,Kwik-E-Mart,10
22,Moe's Tavern,165
22,Simpson Home,1140
22,Springfield Elementary School,400
22,Springfield Nuclear Power Plant,44
23,Kwik-E-Mart,32
23,Moe's Tavern,177
23,Simpson Home,1136
23,Springfield Elementary School,378
23,Springfield Nuclear Power Plant,287
24,Kwik-E-Mart,38
24,Moe's Tavern,311
24,Simpson Home,1310
24,Springfield Elementary School,328
24,Springfield Nuclear Power Plant,151
25,Kwik-E-Mart,35
25,Moe's Tavern,82
25,Simpson Home,1169
25,Springfield Elementary School,536
25,Springfield Nuclear Power Plant,132
26,Kwik-E-Mart,60
26,Moe's Tavern,240
26,Simpson Home,823
26,Springfield Elementary School,82
26,Springfield Nuclear Power Plant,223
